تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1382/07/14,15:30,لیگ برتر ایران,1382-1383,هفته 6,استقلال اهواز,1,1,0,1,0,
1382/07/25,15:00,لیگ برتر ایران,1382-1383,هفته 7,استقلال,1,2,-1,0,1,
1382/08/11,19:30,لیگ برتر ایران,1382-1383,هفته 8,پاس همدان,1,2,-1,0,1,
1382/08/16,19:00,لیگ برتر ایران,1382-1383,هفته 9,برق شیراز,4,0,4,3,1,
1382/09/02,14:30,لیگ برتر ایران,1382-1383,هفته 10,شموشک نوشهر,1,0,1,3,0,
1382/09/09,16:30,لیگ برتر ایران,1382-1383,هفته 11,سایپا,2,0,2,3,1,
1382/09/16,14:00,لیگ برتر ایران,1382-1383,هفته 12,ذوب آهن,0,1,-1,0,0,
1382/09/20,16:00,لیگ برتر ایران,1382-1383,هفته 13,فولاد,1,0,1,3,1,
1382/09/27,14:00,لیگ برتر ایران,1382-1383,هفته 14,پگاه گیلان,0,0,0,1,0,
1382/10/05,16:30,لیگ برتر ایران,1382-1383,هفته 15,ابومسلم,0,0,0,1,1,
1382/10/16,14:30,لیگ برتر ایران,1382-1383,هفته 16,فجر سپاسی,1,1,0,1,0,
1382/10/22,16:00,لیگ برتر ایران,1382-1383,هفته 17,پیکان,0,0,0,1,1,
1382/10/26,14:30,لیگ برتر ایران,1382-1383,هفته 18,سپاهان,2,1,1,3,0,
1382/11/02,16:45,لیگ برتر ایران,1382-1383,هفته 19,استقلال اهواز,0,0,0,1,1,
1382/11/13,15:00,لیگ برتر ایران,1382-1383,هفته 20,استقلال,1,1,0,1,0,
1382/12/07,17:30,لیگ برتر ایران,1382-1383,هفته 21,پاس همدان,3,4,-1,0,0,
1382/12/19,15:30,لیگ برتر ایران,1382-1383,هفته 22,برق شیراز,0,0,0,1,0,
1383/01/16,17:30,لیگ برتر ایران,1382-1383,هفته 23,شموشک نوشهر,2,1,1,3,1,
1383/01/21,18:00,لیگ برتر ایران,1382-1383,هفته 24,سایپا,2,3,-1,0,0,
1381/08/03,14:30,لیگ برتر ایران,1381-1382,هفته 2,پیکان,1,0,1,3,1,
1381/08/10,14:30,لیگ برتر ایران,1381-1382,هفته 3,سایپا,1,1,0,1,0,
1381/08/14,14:00,لیگ برتر ایران,1381-1382,هفته 4,ذوب آهن,0,1,-1,0,1,
1381/08/30,14:00,لیگ برتر ایران,1381-1382,هفته 5,ابومسلم,1,0,1,3,0,
1381/09/15,14:30,لیگ برتر ایران,1381-1382,هفته 6,استقلال اهواز,0,0,0,1,0,
1381/09/28,14:00,لیگ برتر ایران,1381-1382,هفته 8,پاس همدان,1,0,1,3,0,
1381/10/06,14:30,لیگ برتر ایران,1381-1382,هفته 9,صنعت نفت آبادان,1,0,1,3,1,
1381/10/12,14:30,لیگ برتر ایران,1381-1382,هفته 10,سپاهان,1,2,-1,0,0,
1381/10/20,14:30,لیگ برتر ایران,1381-1382,هفته 11,استقلال,1,1,0,1,1,
1381/10/27,14:00,لیگ برتر ایران,1381-1382,هفته 12,ملوان,1,1,0,1,0,
1381/11/03,14:00,لیگ برتر ایران,1381-1382,هفته 13,فولاد,3,3,0,1,1,
1381/11/25,14:30,لیگ برتر ایران,1381-1382,هفته 14,برق شیراز,0,0,0,1,1,
1381/12/04,15:00,لیگ برتر ایران,1381-1382,هفته 15,پیکان,1,1,0,1,0,
1382/01/17,16:30,لیگ برتر ایران,1381-1382,هفته 18,ابومسلم,1,0,1,3,1,
1382/01/22,16:30,لیگ برتر ایران,1381-1382,هفته 16,سایپا,2,1,1,3,1,
1382/01/26,16:30,لیگ برتر ایران,1381-1382,هفته 19,استقلال اهواز,2,1,1,3,1,
1382/02/04,16:30,لیگ برتر ایران,1381-1382,هفته 20,فجر سپاسی,0,0,0,1,0,
1382/02/17,16:30,لیگ برتر ایران,1381-1382,هفته 21,پاس همدان,0,0,0,1,1,
1382/02/22,16:30,لیگ برتر ایران,1381-1382,هفته 22,صنعت نفت آبادان,0,0,0,1,0,
1382/02/26,16:30,لیگ برتر ایران,1381-1382,هفته 17,ذوب آهن,2,3,-1,0,0,
1382/02/31,16:30,لیگ برتر ایران,1381-1382,هفته 23,سپاهان,1,1,0,1,1,
1382/03/23,17:00,لیگ برتر ایران,1381-1382,هفته 24,استقلال,2,1,1,3,0,
1382/03/27,18:00,لیگ برتر ایران,1381-1382,هفته 25,ملوان,2,3,-1,0,1,
1382/04/01,18:00,لیگ برتر ایران,1381-1382,هفته 26,فولاد,2,0,2,3,0,
1380/09/06,16:00,لیگ برتر ایران,1380-1381,هفته 4,ابومسلم,3,2,1,3,1,
1380/09/19,14:00,لیگ برتر ایران,1380-1381,هفته 5,پیکان,2,1,1,3,0,
1380/09/26,17:00,لیگ برتر ایران,1380-1381,هفته 6,ملوان,2,1,1,3,1,
1380/10/06,15:00,لیگ برتر ایران,1380-1381,هفته 7,برق شیراز,0,0,0,1,0,
1380/10/13,14:30,لیگ برتر ایران,1380-1381,هفته 8,پاس همدان,1,3,-2,0,1,
1380/10/28,14:30,لیگ برتر ایران,1380-1381,هفته 9,استقلال,1,1,0,1,0,
1380/11/05,14:30,لیگ برتر ایران,1380-1381,هفته 10,ذوب آهن,3,0,3,3,1,
1380/11/11,14:30,لیگ برتر ایران,1380-1381,هفته 11,استقلال رشت,3,1,2,3,0,
1380/11/26,15:00,لیگ برتر ایران,1380-1381,هفته 12,سایپا,1,1,0,1,1,
1380/12/02,14:30,لیگ برتر ایران,1380-1381,هفته 13,فجر سپاسی,0,1,-1,0,0,
1380/12/16,15:00,لیگ برتر ایران,1380-1381,هفته 14,فولاد,2,1,1,3,0,
1380/12/21,15:00,لیگ برتر ایران,1380-1381,هفته 15,تراکتور,2,1,1,3,1,
1380/12/26,16:30,لیگ برتر ایران,1380-1381,هفته 16,سپاهان,3,2,1,3,1,
1381/01/27,16:00,لیگ برتر ایران,1380-1381,هفته 17,ابومسلم,1,1,0,1,0,
1381/02/01,17:00,لیگ برتر ایران,1380-1381,هفته 18,پیکان,1,0,1,3,1,
1381/02/06,15:00,لیگ برتر ایران,1380-1381,هفته 19,ملوان,1,1,0,1,0,
1381/02/10,16:00,لیگ برتر ایران,1380-1381,هفته 20,برق شیراز,0,1,-1,0,1,
1381/02/14,16:00,لیگ برتر ایران,1380-1381,هفته 21,پاس همدان,0,0,0,1,0,
1381/02/19,16:00,لیگ برتر ایران,1380-1381,هفته 22,استقلال,0,0,0,1,1,
1381/02/24,15:00,لیگ برتر ایران,1380-1381,هفته 23,ذوب آهن,1,1,0,1,0,
1381/02/29,17:30,لیگ برتر ایران,1380-1381,هفته 24,استقلال رشت,2,1,1,3,1,
1381/03/02,16:30,لیگ برتر ایران,1380-1381,هفته 25,سایپا,4,2,2,3,0,
1381/03/07,17:00,لیگ برتر ایران,1380-1381,هفته 26,فجر سپاسی,1,0,1,3,1,
1381/07/26,14:30,لیگ برتر ایران,1381-1382,هفته 1,برق شیراز,2,1,1,3,0,
1380/08/12,16:00,لیگ برتر ایران,1380-1381,هفته 1,فولاد,1,1,0,1,1,
1380/08/28,16:00,لیگ برتر ایران,1380-1381,هفته 2,تراکتور,1,0,1,3,0,
1380/09/02,16:00,لیگ برتر ایران,1380-1381,هفته 3,سپاهان,0,0,0,1,0,
